cluster,cluster_label,top_terms,score_debug,n_docs
0,Data Analyst / BI,"commencait, une, stage, valider diplome, aventure, permettant valider, annee, monde, cesure permettant, job description, cesure, vos, une annee, annee cesure, aventure commencait, valider, ailes aventure, vos ailes, ailes, envie deployer","{""Data Scientist / ML"": 2, ""Data Analyst / BI"": 3, ""Data Engineer"": 1, ""Cloud / DevOps Data"": 2, ""LLM / GenAI / RAG"": 1, ""Quant / Finance"": 2, ""Data Architecture"": 1, ""Software / Backend (data-related)"": 0}",85
1,Data Engineer,"salaire, offres, salaire brut, app, brut, cv, emploi, data, profil, offre, cette, mois heure, heure, mois, postulez premiers, cv vus, telechargez, telechargez app, vus candidatures, parametres deconnexion","{""Data Scientist / ML"": 11, ""Data Analyst / BI"": 11, ""Data Engineer"": 15, ""Cloud / DevOps Data"": 10, ""LLM / GenAI / RAG"": 3, ""Quant / Finance"": 4, ""Data Architecture"": 6, ""Software / Backend (data-related)"": 9}",724
2,Data Scientist / ML,"groupeactive, tpe pme, tpe, pme, choisissant groupeactive, rejoignez groupeactive, encadre pairs, entrepreneurial encadre, beneficiaires modele, dynamiser carriere, optez projet, groupeactive optez, carriere choisissant, souhaitez dynamiser, soutenu collectif, projet entrepreneurial, experimentes soutenu, passionnes beneficiaires, pairs experimentes, unique rejoignez","{""Data Scientist / ML"": 2, ""Data Analyst / BI"": 0, ""Data Engineer"": 0, ""Cloud / DevOps Data"": 0, ""LLM / GenAI / RAG"": 0, ""Quant / Finance"": 0, ""Data Architecture"": 0, ""Software / Backend (data-related)"": 0}",845
3,Cloud / DevOps Data,"plus, euros recherche, securite aeronautique, confiance thales, thales leader, pres milliards, ensemble avenir, mondial hautes, construisons ensemble, hautes technologies, domaines cles, hautes, investit pres, contribuent monde, trois secteurs, specialise trois, inclusif groupe, technologies specialise, activite defense, groupe investit","{""Data Scientist / ML"": 2, ""Data Analyst / BI"": 3, ""Data Engineer"": 2, ""Cloud / DevOps Data"": 4, ""LLM / GenAI / RAG"": 0, ""Quant / Finance"": 2, ""Data Architecture"": 1, ""Software / Backend (data-related)"": 2}",311
4,Data Analyst / BI,"intelligence, conseil, digital, performance, competitivite entreprises, transformation expertise, une success, ajoutee accroitre, story data, success story, mission projets, ans conseil, faciliter accelerer, digital mission, performance competitivite, trois domaines, analytics intelligence, entreprises faciliter, innovantes autour, intelligence big","{""Data Scientist / ML"": 1, ""Data Analyst / BI"": 10, ""Data Engineer"": 3, ""Cloud / DevOps Data"": 2, ""LLM / GenAI / RAG"": 0, ""Quant / Finance"": 0, ""Data Architecture"": 2, ""Software / Backend (data-related)"": 1}",140
5,Data Analyst / BI,"medecin, recruitmentprofession recherchee, rc human, human recruitmentprofession, societe rc, recruitmentprofession, recherchee, rc, soins, recherchee medecin, human, proche, localisation proche, localisation, temps, medecin generaliste, negocieretablissement, generaliste, contrat, etablissement","{""Data Scientist / ML"": 0, ""Data Analyst / BI"": 2, ""Data Engineer"": 0, ""Cloud / DevOps Data"": 1, ""LLM / GenAI / RAG"": 1, ""Quant / Finance"": 1, ""Data Architecture"": 0, ""Software / Backend (data-related)"": 1}",174
6,Data Scientist / ML,"plus, entite rattachement, cea, generales entite, rattachement, entite, informations generales, generales, defense, transition, offre informations, informations, domaines, rattachement safran, contribuer durablement, durablement monde, aerien devient, plus transport, devient toujours, defense mission","{""Data Scientist / ML"": 6, ""Data Analyst / BI"": 3, ""Data Engineer"": 1, ""Cloud / DevOps Data"": 4, ""LLM / GenAI / RAG"": 2, ""Quant / Finance"": 2, ""Data Architecture"": 1, ""Software / Backend (data-related)"": 0}",226
7,Cloud / DevOps Data,"medical, appel, appel medical, sante, vos, transformer, nos, tant, vos cotes, pret transformer, etablissement, aimez, cotes, tant qu, avons, pret, chez appel, transformer vies, vies, nos clients","{""Data Scientist / ML"": 2, ""Data Analyst / BI"": 3, ""Data Engineer"": 3, ""Cloud / DevOps Data"": 4, ""LLM / GenAI / RAG"": 1, ""Quant / Finance"": 0, ""Data Architecture"": 1, ""Software / Backend (data-related)"": 0}",548
8,Data Scientist / ML,"date, fonctionnaires, obligatoires, date debut, categorie, date limite, debut, limite, reference, informations generales, generales, diffusion, fonction, informations, diffusion date, titulaires, generales reference, trois, reference date, requis postuler","{""Data Scientist / ML"": 4, ""Data Analyst / BI"": 2, ""Data Engineer"": 2, ""Cloud / DevOps Data"": 1, ""LLM / GenAI / RAG"": 1, ""Quant / Finance"": 1, ""Data Architecture"": 1, ""Software / Backend (data-related)"": 2}",157
9,Data Scientist / ML,"ia, artificielle, intelligence artificielle, intelligence, une, data, eacute, solutions, modeles, projets, developpement, learning, generative, nos, llm, equipe, data ia, ia generative, solutions ia, sein","{""Data Scientist / ML"": 16, ""Data Analyst / BI"": 13, ""Data Engineer"": 13, ""Cloud / DevOps Data"": 10, ""LLM / GenAI / RAG"": 14, ""Quant / Finance"": 4, ""Data Architecture"": 5, ""Software / Backend (data-related)"": 8}",1219
10,Data Scientist / ML,"plus, une, ai, nos, data, groupe, france, team, clients, sommes, description, conseil, entreprise, collaborateurs, services, leader, solutions, business, mission, expertise","{""Data Scientist / ML"": 11, ""Data Analyst / BI"": 9, ""Data Engineer"": 4, ""Cloud / DevOps Data"": 4, ""LLM / GenAI / RAG"": 8, ""Quant / Finance"": 6, ""Data Architecture"": 4, ""Software / Backend (data-related)"": 3}",4503
11,Data Analyst / BI,"hui demain, capgemini invent, capgemini, nos, invent, chez norauto, norauto, demain, tant consultants, combinons nos, innovation moteur, scientifiques collaborant, creatives scientifiques, moteur changement, etroitement nos, chez capgemini, nos capacites, consultants transformation, capacites strategiques, strategiques creatives","{""Data Scientist / ML"": 0, ""Data Analyst / BI"": 4, ""Data Engineer"": 1, ""Cloud / DevOps Data"": 0, ""LLM / GenAI / RAG"": 0, ""Quant / Finance"": 0, ""Data Architecture"": 1, ""Software / Backend (data-related)"": 0}",63
12,Quant / Finance,"ve active, clients digital, insurance retail, transport banking, utilities transport, ai infra, including human, projects years, firm supports, active diverse, resources energy, recognized entrepreneurial, sectors areas, key clients, cybersecurity data, public services, telecoms marketing, services cybersecurity, media telecoms, entrepreneurial approach","{""Data Scientist / ML"": 0, ""Data Analyst / BI"": 3, ""Data Engineer"": 1, ""Cloud / DevOps Data"": 0, ""LLM / GenAI / RAG"": 0, ""Quant / Finance"": 4, ""Data Architecture"": 0, ""Software / Backend (data-related)"": 0}",48
13,Data Analyst / BI,"usagers, autonomie assurez, responsabilite autonomie, priorite donnee, une priorite, donnee quant, assurez transport, transport accompagnement, quant securite, lundi, securite usagers, usagers respect, priorite, respect code, code route, route ponctualite, vendredi, assurez, ponctualite, ponctualite conduite","{""Data Scientist / ML"": 0, ""Data Analyst / BI"": 3, ""Data Engineer"": 0, ""Cloud / DevOps Data"": 0, ""LLM / GenAI / RAG"": 0, ""Quant / Finance"": 3, ""Data Architecture"": 0, ""Software / Backend (data-related)"": 0}",106
14,Software / Backend (data-related),"pme, developpement commercial, tpe pme, tpe, croissance economie, cible representant, france pme, economie face, pme coeur, economique francais, pme moteur, defis notamment, face nombreux, plus tpe, moteur croissance, francais compose, representant entreprises, coeur cible, tissu economique, compose plus","{""Data Scientist / ML"": 0, ""Data Analyst / BI"": 0, ""Data Engineer"": 0, ""Cloud / DevOps Data"": 0, ""LLM / GenAI / RAG"": 0, ""Quant / Finance"": 0, ""Data Architecture"": 0, ""Software / Backend (data-related)"": 1}",75
